name,website,address,phone,category,rating,reviews_count
101 Thai Spa,http://www.101thaispa.com/,"119 Lavender Hill, London SW11 5QL, United Kingdom",+442075851222,Spa mát xa,4.7,
10:10 AESTHETICS,https://www.instagram.com/10.10.aesthetics/,"Ranelagh Gardens, London SW6 3PA, United Kingdom",+447719694769,Phòng khám,5,
111 Harley St.,https://www.111harleystreet.com/,"111 Harley St, London W1G 6AW, United Kingdom",+443446921111,Plastic surgery clinic,4.9,
152 Harley Street Clinic,https://www.152harleystreet.com/,"3rd Floor, 152 Harley St, London W1G 7LH, United Kingdom",+442074673000,Plastic surgery clinic,4.9,
180 Skin and Aesthetics,http://180skinandaesthetics.as.me/,"10 Bond St, London W5 5AA, United Kingdom",+447526276238,Szépségszalon,5,
2 Glow,http://www.2glow.co.uk/,"18, Queen's Parade, Hanger Ln, London W5 3HU, United Kingdom",+442034414820,Spa y tế,4.2,
360 Degree Clinic,https://www.360degreeclinic.co.uk/,"58A Victoria Rd, Surbiton KT6 4NQ, United Kingdom",+442039714025,Trung tâm chăm sóc sức khỏe,4.7,
360 Med | Private Medical Clinic - North London,https://360med.co.uk/,"120 Fortis Green Rd, Muswell Hill, London N10 3HN, United Kingdom",+442080504048,Medical clinic,4.9,
4D London Clinic,http://www.4dlondonclinic.co.uk/,"302c Eastcote Ln, Harrow HA2 9AH, United Kingdom",+447534465338,Spa y tế,5,
5 Cavendish - Skin Studio,https://www.5cavendish.com/,"5 Cavendish Ave, London NW8 9JD, United Kingdom",+447464659119,Institut de beauté,5,
50 Hill Rise,https://50hillrise.com/,"50 Hill Rise, Richmond TW10 6UB, United Kingdom",+442081830088,Centro de salud y bienestar,4.9,
53 Aesthetics,https://53aesthetics.co.uk/,"17 Limpsfield Rd, South Croydon CR2 9LA, United Kingdom",+442086514290,Tedavi Amaçlı Kaplıca,4.9,
53 Aesthetics Richmond,https://53aesthetics.co.uk/contact-us/,"50 Hill Rise, Richmond TW10 6UB, United Kingdom",+447938168849,Medical clinic,5,
7 Bali Spa,https://7balispa.co.uk/,"11-12 Newman St, London W1T 1PB، United Kingdom",+442045475467,Spa,4.8,
7 Day Spa Thai Massage & Beauty Angel Islington,https://7dayspa.co.uk/,"14 Chapel Market, London N1 9EZ, United Kingdom",+442078371945,Massage spa,4.5,
A Touch Of Elegance Clinic,https://elegancemobilespa.com/,"Dunsfold Way, New Addington, Croydon CR0 0TN, United Kingdom",+447443935365,Tedavi Amaçlı Kaplıca,5,
A&M Health Clinic - Massage Services,https://www.amhealthclinic.co.uk/,"98 Cleveland St, London W1T 6NR, United Kingdom",+442073888199,Bác sĩ trị liệu xoa bóp,4.9,
A&S Beauty and Aesthetic,https://widget.treatwell.co.uk/place/427280/menu/,"61 St Helier Ave, Morden SM4 6HY, United Kingdom",+447769425313,Beauty salon,5,
A-Plus Clinic,https://aplusclinic.co.uk/,"38 Room, 4th Floor, 2-4 Great Eastern St, London EC2A 3NW, United Kingdom",+447496368790,Skin care clinic,5,
AAR aesthetics limited,https://www.aaraesthetic.co.uk/,"40 Long Ln, Uxbridge UB10 0EG, United Kingdom",+447886079712,Skin care clinic,5,
Aaron Bishop Aesthetics,https://www.aaronbishopaesthetics.co.uk/,"23 Norfolk Rd, Upminster RM14 2RE, United Kingdom",+447956695971,Medical spa,5,
Aatma Aesthetics at The O2,http://www.aatma-aesthetics.com/,"Outlet Shopping in The O2, Peninsula Square, London SE10 0DX, United Kingdom",+442036409790,Medical spa,4.9,
Abbey Spa & Wellness,https://everyonespa.com/our-venues/abbey-spa-barking/,"Bobby Moore Way, Barking IG11 7LX, United Kingdom",+442039484960,Spa,3.7,
Ace Aesthetics,http://www.aceaesthetics.co.uk/,"Surrey, 3 Castle Yard, Richmond TW10 6TF, United Kingdom",+443335770750,Spa terapéutico,5,
Ace Skin Health Clinic,https://aceskinhealthclinic.co.uk/,"337 Caledonian Rd, London N1 1DW, United Kingdom",+442081431682,Cơ sở chăm sóc da,5,
Acquisition Aesthetics,https://acquisitionaesthetics.co.uk/,"10 Argyll St, London W1F 7TQ, United Kingdom",+442035148757,Training provider,4.9,
AcuMedic Clinic,http://www.acumedic.com/,"103-105 Camden High St, London NW1 7JN, United Kingdom",+442073886704,Spa y tế,4.5,
AD Aesthetics,https://www.adaesthetics.uk/,"6 The Town, Enfield EN2 6LE, United Kingdom",+447479518085,Spa mặt,5,
AD LASER CLINIC EXPRESS PUTNEY,,"56 Putney High St, London SW15 1SF, United Kingdom",+442080624472,Lazer Epilasyon Hizmeti,2.9,
Adelaide Beauty Studio,https://www.facebook.com/Adelaide-Beauty-Studio-2001055200137362/,"50-52 Hoe St, London E17 4PG, United Kingdom",+442085090001,Skin care clinic,4.8,
ADM Skin Clinic,https://admskinclinic.com/,"516-518 Fulham Rd., London SW6 5NJ, United Kingdom",+442076109400,Skin care clinic,4.7,
Adonia Medical Clinic,https://www.adoniamedicalclinic.co.uk/,"474 Harrow Rd, Maida Hill, London W9 3RU, United Kingdom",+442038757399,Skin care clinic,4.8,
Adriana Slana | Dermatology & Aesthetics,https://asdermatology.co.uk/,"Room 4, 98 Crawford St, London W1H 2HL, United Kingdom",+447491879385,Medical spa,5,
Adu Aesthetics,https://instagram.com/adu.aesthetics?igshid=OGQ5ZDc2ODk2ZA==,"Surrey Rd, Barking IG11 7QT, United Kingdom",+447581718447,Cơ sở chăm sóc da,5,
Advanced Aesthetics Clinic,,"The Tube, 442 Brighton Rd, South Croydon CR2 6AP, United Kingdom",+447951030056,Güzellik Salonu,5,
Advanced Beauty Clinic,https://www.advancedbeauty.co.uk/,"12 St George's Rd, London NW11 0LR, United Kingdom",+447791850791,Beauty salon,4.8,
Advanced Skin Medical Aesthetics,https://www.treatwell.co.uk/place/skinmedic-clinic/,"163-165 Uxbridge Rd, London W13 9AU, United Kingdom",+447742379540,Cơ sở chăm sóc da,4.8,
AE Aesthetics,,"109 Manor Ln, London SE12 8LT, United Kingdom",+442082652047,Medical clinic,5,
Aestha Clinic,http://aestha.co.uk/,"21 Welbeck St, London W1G 8EE, United Kingdom",+447917796064,Clinica per la cura della pelle,4.7,
Aesthetic Artistry by Elysee,https://aestheticartistrybyelysee.as.me/,"Hammersley Rd, London E16 1TQ, United Kingdom",+447470055221,Chuyên gia làm đẹp,5,
Aesthetic BioGlow Clinic,,"Cholmeley Court, Woodside Park Rd, London N12 8RU, United Kingdom",+447399645523,Clínica dermatológica,5,
Aesthetic by Maria,http://www.aesthetic-by-maria.com/,"10 Adam and Eve Mews, London W8 6UJ, United Kingdom",+447494281058,Skin care clinic,5,
Aesthetic By Stheph,,"300 Chiswick High Rd., Chiswick, London W14 PN, United Kingdom",+447538881460,Beautician,4.6,
Aesthetic Clinic,https://m.facebook.com/aestheticclinickp,"22 Austin Waye, Uxbridge UB8 2QT, United Kingdom",,Beautician,5,
Aesthetic Clinic London,https://www.theaestheticcliniclondon.com/free-voucher,"118 Baker St, London W1U 6TT, United Kingdom",+447496719640,Medical spa,4.7,
Aesthetic Clinic | Botox & Fillers Specialist,,"104 Judd St, London WC1H 9PU, United Kingdom",,Health and beauty shop,4.8,
Aesthetic Clinics,https://www.aesthetic-clinics.co.uk/,"21 Welbeck St, London W1G 8EE, United Kingdom",+442071268255,Cơ sở chăm sóc da,5,
Aesthetic Clinique,https://aestheticclinique.square.site/,"92 W End Ln, London NW6 2LU, United Kingdom",+447415733934,Health and beauty shop,5,
Aesthetic Dental Zone,https://dulwichdentists.co.uk/,"2 Lordship Ln, London SE22 8HN, United Kingdom",+442082991434,Dentist,4.9,
Aesthetic Excellence,https://www.aestheticexcellence.co.uk/,"2 Larkfield Rd, Richmond TW9 2PF, United Kingdom",+447716096310,Skin care clinic,5,
Aesthetic Institute,https://bookings.gettimely.com/aestheticinstitute/book?uri=https%3A%2F%2Fbook.gettimely.com%2FBooking%2FLocation%2F280389%3Fmobile%3DTrue%26params%3D%25253fclient-login%25253dtrue&fbclid=PAVERFWANiJbFleHRuA2FlbQIxMAABp5ONIqoYBBqRx9w-H2IINMJtUV70M9I1y_vW4WddpOg8QL4QTVKUSZkwJbRG_aem_LS3mWI7NlA2XlPNrC4L4lg,"218 High St, Croydon CR0 1NE, United Kingdom",+447494422145,Güzellik Salonu,4.7,
Aesthetic London,https://www.aestheticlondon.co.uk/,"73 Abbey Rd., London NW8 0AE, United Kingdom",+447863559333,Clinique dermatologique,5,
Aesthetic Masters,,"Suite 4, Ealing House, 33 Hanger Ln, London W5 3HJ, United Kingdom",+442039620755,Spa y tế,5,
Aesthetic Medicine Live,https://aestheticmed.co.uk/e/amlive/site/home,"Hammersmith Rd, London W14 8UX, United Kingdom",+442073510536,Nhà tổ chức sự kiện,5,
Aesthetic MediSpa (Buckhurst Hill),http://www.aesthetic-medispa.co.uk/,"102-104 Queen's Rd, Buckhurst Hill IG9 5BS 영국",+442033028558,,5,
Aesthetic Point,https://aestheticpointclinic.co.uk/,"Unit 4, 104-122 City Rd, London EC1V 2NR, United Kingdom",+447772299168,Skin care clinic,4.9,
Aesthetic Room Hounslow,https://www.aesthetichounslow.co.uk/,"Roseville Ave, Hounslow TW3 3TD, United Kingdom",+447932052159,Beauty salon,5,
Aesthetic Skin Centre,http://www.aestheticskincentre.co.uk/,"34 Hendon Ln, London N3 1TT, United Kingdom",+442083466567,Medical spa,4.5,
Aesthetic Zone,https://www.aestheticzone.co.uk/,"21 Knightsbridge, London SW1X 7LY, United Kingdom",+442038747968,Laser hair removal service,4.6,
AesthetiCare Clinic by Dr Khaula Safdar,https://aestheticareclinic.co.uk/,"87 Moorgate, London EC2M 6SA, United Kingdom",+447931913489,Tedavi Amaçlı Kaplıca,5,
Aesthetics & Skin By Yara,https://www.aestheticsandskinbyyara.co.uk/,"40 Moreton St, Pimlico, London SW1V 2PB, United Kingdom",+447482343595,Medical spa,5,
Aesthetics at the Lab,https://labspa.co.uk/spa-treatments/aesthetics/,"Room 2, 1a Hall Ln, Mill Hill, London NW4 4TJ, United Kingdom",+447966801015,Medical spa,5,
Aesthetics by Dr Jemma,https://www.drjemma.com/,"Old Power Station, Clinic 202 - Aesthetics by Dr Jemma (Hanger Lane Clinic, Wow Workspaces Ealing, Western Ave, Brentham Garden Suburb, London W5 1HS, United Kingdom",+447701349600,Clínica ambulatoria,5,
Aesthetics By Elena,https://widget.treatwell.co.uk/place/391601/menu/,"25 Bond St, London W5 5AS, United Kingdom",+447920468000,Thẩm mỹ viện,4.9,
Aesthetics by FGS Healthcare,https://www.fgshealthcare.co.uk/,"102 E Barnet Rd, London, Barnet EN4 8RE, United Kingdom",+442038380771,Clínica dermatológica,4.9,
Aesthetics by Hayley,https://aestheticsbyhayley.co.uk/,"260 Pentonville Rd, London N1 9JY, United Kingdom",+447824367575,Beauty salon,5,
