name,website,address,phone,category,rating,reviews_count,reject_reason
AAR aesthetics limited,https://www.aaraesthetic.co.uk/,"40 Long Ln, Uxbridge UB10 0EG, United Kingdom",+447886079712,Skin care clinic,5,,connection_error
AD LASER CLINIC EXPRESS PUTNEY,,"56 Putney High St, London SW15 1SF, United Kingdom",+442080624472,Lazer Epilasyon Hizmeti,2.9,,no_website
Adelaide Beauty Studio,https://www.facebook.com/Adelaide-Beauty-Studio-2001055200137362/,"50-52 Hoe St, London E17 4PG, United Kingdom",+442085090001,Skin care clinic,4.8,,social_media:facebook.com
Adu Aesthetics,https://instagram.com/adu.aesthetics?igshid=OGQ5ZDc2ODk2ZA==,"Surrey Rd, Barking IG11 7QT, United Kingdom",+447581718447,Cơ sở chăm sóc da,5,,social_media:instagram.com
Advanced Aesthetics Clinic,,"The Tube, 442 Brighton Rd, South Croydon CR2 6AP, United Kingdom",+447951030056,Güzellik Salonu,5,,no_website
Advanced Beauty Clinic,https://www.advancedbeauty.co.uk/,"12 St George's Rd, London NW11 0LR, United Kingdom",+447791850791,Beauty salon,4.8,,ssl_error
AE Aesthetics,,"109 Manor Ln, London SE12 8LT, United Kingdom",+442082652047,Medical clinic,5,,no_website
Aesthetic BioGlow Clinic,,"Cholmeley Court, Woodside Park Rd, London N12 8RU, United Kingdom",+447399645523,Clínica dermatológica,5,,no_website
Aesthetic By Stheph,,"300 Chiswick High Rd., Chiswick, London W14 PN, United Kingdom",+447538881460,Beautician,4.6,,no_website
Aesthetic Clinic,https://m.facebook.com/aestheticclinickp,"22 Austin Waye, Uxbridge UB8 2QT, United Kingdom",,Beautician,5,,social_media:facebook.com
Aesthetic Clinic London,https://www.theaestheticcliniclondon.com/free-voucher,"118 Baker St, London W1U 6TT, United Kingdom",+447496719640,Medical spa,4.7,,http_error:403
Aesthetic Clinic | Botox & Fillers Specialist,,"104 Judd St, London WC1H 9PU, United Kingdom",,Health and beauty shop,4.8,,no_website
Aesthetic Masters,,"Suite 4, Ealing House, 33 Hanger Ln, London W5 3HJ, United Kingdom",+442039620755,Spa y tế,5,,no_website
Aesthetic Zone,https://www.aestheticzone.co.uk/,"21 Knightsbridge, London SW1X 7LY, United Kingdom",+442038747968,Laser hair removal service,4.6,,http_error:404
Aesthetics By Nasren,https://www.instagram.com/aesthetics.by.nasren/,"Unit 2, 33 New Broadway, London W5 5AH, United Kingdom",+447979397260,Spa y tế,5,,social_media:instagram.com
Aesthetics by Ocean,https://www.instagram.com/aestheticsbyocean/,"465C Hornsey Rd, London N19 4DR, United Kingdom",+447782345125,Beauty salon,5,,social_media:instagram.com
Aesthetics by Reena,http://www.aestheticsbyreena.co.uk/,"309 Malden Rd, New Malden KT3 6AH, United Kingdom",+442089421465,Medical spa,5,,http_error:403
Aesthetics Fairies,,"Albertine Grv, West Wickham BR4 9FA",07903808420,Medical spa,5,,no_website
AI Beauty Clinic,https://www.ai-beauty.co.uk/,"147 Oxford St, London W1D 2JE, United Kingdom",+442088636880,Medical spa,4.8,,http_error:403
AK Medical Aesthetics,,"161 High St, Hadley, Barnet EN5 5SU, United Kingdom",+447852733830,Clínica dermatológica,5,,no_website
Amor Aesthetics,,"Unimix House, London NW10 7TR, United Kingdom",,Clínica dermatológica,4.8,,no_website
Angel Spa,https://www.facebook.com/AngelSpa.Angel.London/,"46 Chapel Market, London N1 9EW, United Kingdom",+442078379839,Beauty salon,4.4,,social_media:facebook.com
Armineh Aesthetics & Health Clinic,https://armineh.co.uk/,"2 Hampstead High St, London NW3 1PR, United Kingdom",+447865010202,Medical spa,5,,http_error:403
Aromathera,,"13 Evenwood Cl, London SW15 2DA, United Kingdom",,Medical spa,5,,no_website
