name,website,address,phone,category,rating,reviews_count
London City Skin Clinic,https://www.londoncityskinclinic.com/,"10 Harley St, London W1G 9PF, United Kingdom",+442034888469,"Skin care clinic, Cosmetics industry",5,
City Dermatology Clinic London,https://citydermatologyclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"First Floor, 65/66 Queen St Pl, London EC4R 1EB, United Kingdom",+442080505981,Surgical center,4.9,
Cosmedics Skin Clinics,https://www.cosmedics.co.uk/,"42 New Broad St, London EC2M 1JD, United Kingdom",+442073860464,"Skin care clinic, Dermatologist, Doctor, Medical spa, Plastic surgeon, Plastic surgery clinic, Proctologist, Surgeon",4.8,
M1 Med Beauty | Doctors-Only Cosmetic Clinic,https://www.m1-beauty.co.uk/london/,"3rd floor, 64 London Wall, London EC2M 5TP, United Kingdom",+442035198093,Skin care clinic,4.7,
The London Cosmetic Clinic,https://www.thelondoncosmeticclinic.co.uk/,"2nd Floor, 4 Harley St, London W1G 9PB, United Kingdom",+442035813391,Skin care clinic,4.4,
Artistry Clinic,https://www.artistryclinic.co.uk/,"33-34 Bury St, London EC3A 5AR, United Kingdom",+447411592837,Skin care clinic,4.9,
Harley Street Skin Clinic,https://www.harleystreetskinclinic.com/,"14 Devonshire Pl, London W1G 6HX, United Kingdom",+442074364441,"Skin care clinic, Beauty salon, Facial spa, Laser hair removal service, Medical clinic, Medical spa",4.7,
ASKINOLOGY,http://www.askinology.com/,"35, 36 Leadenhall Market, London EC3V 1LR, United Kingdom",+442070432233,"Skin care clinic, Beauty salon, Facial spa, Laser hair removal service",4.8,
The Cosmetic Skin Clinic,https://www.cosmeticskinclinic.com/,"98 Harley St, London W1G 6HP, United Kingdom",+443332428528,"Skin care clinic, Weight loss service",4.3,
Primas MediSpa - Aesthetic Clinic,https://primasmedispa.com/,"6 Ludgate Square, London EC4M 7AS, United Kingdom",+442072139550,"Skin care clinic, Laser hair removal service, Spa",4.8,
Derma Revive Skin Clinic,https://dermareviveskinclinic.co.uk/,"1-3 College Hill, London EC4R 2RA, United Kingdom",+442037514946,"Skin care clinic, Laser hair removal service, Medical clinic",4.8,
The Academy Clinic,https://theacademyclinic.co.uk/,"62/63 Threadneedle St, London EC2R 8HP, United Kingdom",+442038843246,"Skin care clinic, Beauty salon, Medical clinic, Training center",4.7,
DRJD&CO Beauty & Aesthetic Clinic,http://www.drjd.co.uk/,"The Integrity Centre, 14 Devonshire Row, Liverpool St, London EC2M 4RH, United Kingdom",+447513373298,"Skin care clinic, Beautician, Dermatologist, Facial spa, Hair transplantation clinic, Medical Center, Weight loss service",4.8,
Dr. Leah,https://www.drleah.co.uk/?utm_source=google&utm_medium=business+listing&utm_campaign=GMB_moorgate,"24 Chiswell St, London EC1Y 4TY, United Kingdom",+442078775999,Skin care clinic,4.8,
London Real Skin,https://londonrealskin.com/,"233 High Holborn, London WC1V 7DN, United Kingdom",+442071835892,Skin care clinic,4.9,
M&K Aesthetics,http://mnkaesthetics.com/,"27 Royal Exchange, London EC3V 3LP, United Kingdom",+447897901066,"Skin care clinic, Beauty salon",4.9,
