name,website,address,phone,category,rating,reviews_count
108 Harley Street,https://www.108harleystreet.co.uk/,"London Medical Chambers, 108 Harley St, London W1G 7ET, United Kingdom",+442075631234,Medical clinic,4.8,
111 Harley St.,https://www.111harleystreet.com/,"111 Harley St, London W1G 6AW, United Kingdom",+443446921111,Weight loss service,4.9,
121 Clinic Teddington,https://121clinic.co.uk/,"23 Broad St, Teddington TW11 8QZ, United Kingdom",+447785587032,Weight loss service,,
1:1 Diet by Cambridge weight plan with Maya,https://www.one2onediet.com/consultants/30006/1/Maya,"Silver Cres, Chiswick, London W4 5SE, United Kingdom",+447760134732,Weight loss service,5,
1:1 Diet Hounslow,https://www.one2onediet.com/consultants/25133/1/Ewelina_Maciej?p=1&c=GB&q=Tw3%203QY%20&fbclid=IwAR3lxxwoHKYkPwH6RYDdKNs4OcVwhcgmmlwPxcx2we7rq6EuEd_Mr_YhaMw,"1st Floor, 112 High St, Hounslow TW3 1NA, United Kingdom",+447540935283,Weight loss service,,
25 Harley Street,https://www.phoenixhospitalgroup.com/our-locations/25-harley-street/,"25 Harley St, London W1G 9QW, United Kingdom",+442070792100,Medical clinic,4.3,
2Me Clinic,https://2meclinic.com/,"1-5 Portpool Ln, London EC1N 7UU, United Kingdom",+442081466626,Fertility clinic,4.9,
360 Degree Clinic,https://www.360degreeclinic.co.uk/,"58A Victoria Rd, Surbiton KT6 4NQ, United Kingdom",+442039714025,Wellness center,4.7,
3D Lipo London Non surgical clinic,https://www.3dlipolondon.com/,"82 York St, London W1H 1QP, United Kingdom",+447763566574,Weight loss service,5,
4D London Clinic,http://www.4dlondonclinic.co.uk/,"302c Eastcote Ln, Harrow HA2 9AH, United Kingdom",+447534465338,Dermatologist,5,
4Well People,http://www.4wellpeople.co.uk/,"12 Broomfield Rd, London W13 9AP, United Kingdom",+447967639347,Nutritionist,5,
80 Leadenhall Street (Homerton Sexual Health) - Appointment Only,http://www.homerton.nhs.uk/sexual-health,"80 Leadenhall St, London EC3A 3DH, United Kingdom",+442076834103,STD clinic,4.5,
9 Harley Street,https://www.phoenixhospitalgroup.com/our-locations/9-harley-street/,"9 Harley St, London W1G 9QY, United Kingdom",+442070792100,Medical clinic,4.3,
