name,website,address,phone,category,rating,reviews_count
10 Hammersmith Broadway,http://www.chelwest.nhs.uk/services/hiv-sexual-health/clinics/10-hammersmith-broadway,"10 Hammersmith Broadway, London W6 7AL, United Kingdom",+442033151010,STD clinic,4.2,
108 Dental Surgery,https://www.108dentalsurgery.co.uk/,"108 St John's Hl, London SW11 1SH, United Kingdom",+442072281334,Dental clinic,5,
108 Harley Street,https://www.108harleystreet.co.uk/,"London Medical Chambers, 108 Harley St, London W1G 7ET, United Kingdom",+442075631234,Medical clinic,4.8,
111 Harley St.,https://www.111harleystreet.com/,"111 Harley St, London W1G 6AW, United Kingdom",+443446921111,Weight loss service,4.9,
111CRYO - Cryotherapy London,https://111cryoheat.com/,"4th, Harvey Nichols, London SW1X 7RJ, United Kingdom",+442072018489,Wellness center,4.9,
121 Clinic Teddington,https://121clinic.co.uk/,"23 Broad St, Teddington TW11 8QZ, United Kingdom",+447785587032,Weight loss service,,
121 Cupping Therapies,https://www.instagram.com/121therapiesuk,"Manor Waye, Uxbridge UB8 2BQ, United Kingdom",+447951854916,Physical therapy clinic,5,
128 Harley Street Dental Suite,https://128harleystreetdentalsuite.com/,"128 Harley St, London W1G 7JT, United Kingdom",+442079358777,Orthodontist,4.9,
12NORTH,https://the12north.com/services/,"Unit 3 Hutchins Cl, London E15 2HU, United Kingdom",+442080505867,Osteopath,5,
130 dental centre,https://www.130dentalcentre.com/,"130 Coldharbour Ln, Hayes UB3 3HB, United Kingdom",+442085730026,Phòng khám nha khoa,4.7,
1:1 Diet by Cambridge weight plan with Maya,https://www.one2onediet.com/consultants/30006/1/Maya,"Silver Cres, Chiswick, London W4 5SE, United Kingdom",+447760134732,Weight loss service,5,
1:1 Diet Hounslow,https://www.one2onediet.com/consultants/25133/1/Ewelina_Maciej?p=1&c=GB&q=Tw3%203QY%20&fbclid=IwAR3lxxwoHKYkPwH6RYDdKNs4OcVwhcgmmlwPxcx2we7rq6EuEd_Mr_YhaMw,"1st Floor, 112 High St, Hounslow TW3 1NA, United Kingdom",+447540935283,Weight loss service,,
1A Orthodontics | Invisalign Provider and Invisible Fixed Braces,https://www.1aorthodontics.com/,"1A Freshford St, London SW18 3TG, United Kingdom",+442089445545,Orthodontiste,4.8,
23MD,https://23md.co.uk/,"23 Elystan St, London SW3 3NT, United Kingdom",+442070780302,Skin care clinic,4.1,
