name,website,address,phone,category,rating,reviews_count,reject_reason
111CRYO - Cryotherapy London,https://111cryoheat.com/,"4th, Harvey Nichols, London SW1X 7RJ, United Kingdom",+442072018489,Wellness center,4.9,,http_error:500
Advanced Medical Services UK Limited,,"146 The Broadway, London W13 0TL, United Kingdom",+442037017051,Medical clinic,5,,no_website
Albany Diet Clinic,http://www.albanyclinic.co.uk/,"F1, 64 Borough High St, London SE1 1XF, United Kingdom",+442074033922,Medical clinic,,,http_error:403
Albany Medical Centre Weight loss,http://www.albanyclinic.co.uk/,"2 Alma Rd, Sidcup DA14 4EA, United Kingdom",+442083009900,Weight loss service,4.9,,http_error:403
"Alex Day Eye Clinic- Private Cataract and Laser Eye Surgery, Moorfields London",https://alexday.co.uk/,"Moorfields Private Eye Centre, 50-52 New Cavendish St, London W1G 8TL, United Kingdom",+442071005468,Lasik surgeon,5,,http_error:403
Allergy Asthma and ENT Clinic,,"16, Rhenius St, Richmond Town, Bengaluru, Karnataka 560025",09448481432,Bác sĩ,2.9,,no_website
Aloray aesthetics & Wellness clinic,,"49 Great Portland St, Oxford St, London W1W 7HG, United Kingdom",+447576735466,Medical clinic,,,no_website
Amin hair system,https://www.aminhairsystem.com/,"18 Watford Wy, London NW4 3AD, United Kingdom",+447533400885,Hair replacement service,5,,ssl_error
Angel Eye Clinic,,"85 Chapel Market, London N1 9EX, United Kingdom",+442072783535,Eye care center,4.5,,no_website
Apricity Fertility Clinic,,"Fox Court, Head Office 1Citibase, 4 Gray's Inn Rd, London WC1X 8HN, United Kingdom",,Fertility clinic,4.1,,no_website
ARC @ Stowe Young Peoples Sexual Health Service,http://www.jefferisswing.nhs.uk/,"260 Harrow Rd, London W2 5ES, United Kingdom",+442033127583,Medical clinic,,,http_error:403
Arch,,"64 High St, Uxbridge UB8 1JP, United Kingdom",+442038387850,Addiction treatment center,3.6,,no_website
Armineh Aesthetics & Health Clinic,https://armineh.co.uk/,"2 Hampstead High St, London NW3 1PR، United Kingdom",+447865010202,Skin care clinic,5,,http_error:403
AVCNA.CLINIC.LDN,,"First Floor, 51 Beauchamp Pl, London SW3 1NY, United Kingdom",+447549172041,Medical clinic,5,,no_website
Aydin Aesthetics skin specialist clinic,https://www.instagram.com/emine.mesut.aydin,"210 Green St, Enfield EN3 7NB, United Kingdom",07463597280,Schönheitsklinik,5,,social_media:instagram.com
Battersea Weight Loss Club,,"46-38 Culvert Rd, London SW11 5BB, United Kingdom",,Weight loss service,,,no_website
Bexleyheath Natural Health Clinic,,"9 Upton Rd, Bexleyheath DA6 8LQ، United Kingdom",+442083036288,,4.5,,no_website
Beyond therapy,https://www.beyondtherapy.uk/,"London E16 2AJ, United Kingdom",+447841033123,Sports medicine physician,5,,ssl_error
Bioidentical Hormone Replacement Clinic,,"10 Harley St, London W1G 9PF, United Kingdom",+442074671510,Medical clinic,,,no_website
"Bioma - Blood testing, Health & Diagnostics",,"4 Cheval Pl, London SW7 1ES, United Kingdom",+442084960147,Blood testing service,,,no_website
Bruce Allan,http://www.allan.vu/,"9-12 Bath St, London EC1V 9LF, United Kingdom",+442075662156,Eye care center,4.9,,connection_error
Burrell St Sexual Health Clinic,http://www.burrellstreet.co.uk/,"4-5 Burrell St, London SE1 0UN, United Kingdom",+442071886666,Reproductive health clinic,3.2,,connection_error
Camden & Islington Sickle Cell & Thalassaemia Centre,,"17a Hornsey St, London N7 8GG, United Kingdom",+442033168853,Medical clinic,,,no_website
Chelsea Bloom — Lina Klimenko Nutrition Practice,,"400 King's Rd, London SW10 0LJ, United Kingdom",+447446893326,Nutritionist,5,,no_website
Chelsea Bupa Health Centre,https://www.bupa.co.uk/health/health-assessments/our-centres/chelsea,"Unit 3, Verney House, 1 Hollywood Rd, London SW10 9HT, United Kingdom",+442039338999,Medical Center,3.8,,http_error:403
Chelsea Dermatology Clinic,https://www.thechelseadermatologyclinic.com/,"Ground Floor Riverfront, 368 Queenstown Rd, London SW11 8NN, United Kingdom",+442079418320,Dermatologist,5,,connection_error
Chelsea Medical Centre,,"272 King's Rd, London SW3 5AW, United Kingdom",+442078248041,Medical clinic,5,,no_website
Chelsea Nutrition Clinic,,"Evelyn Gardens, South Kensington, London SW7 3BH, United Kingdom",+447903537614,Fertility clinic,,,no_website
Chelsea Outpatient Center,,"Outpatients Centre, 280 King's Rd, London SW3 4NX, United Kingdom",,Medical clinic,1,,no_website
Christian Thomson Health Consultancy,,"28 Magdalen St, London SE1 2EN, United Kingdom",+447946319906,Weight loss service,5,,no_website
"Christopher V. Steer, MD",,"40-42 Lee Terrace, Blackheath, London SE3 9UD, United Kingdom",+442082974500,Fertility physician,,,no_website
